Station;Date;Metadata;Notes
Annone;31.03.1770;;see Bider et al (1958)
Annone;24.02.1779;X;probably change of observation time
Annone;31.12.1797;;
Huber;20.09.1790;X;thermometer relocation
Huber;31.10.1798;;
Huber;04.02.1806;X;thermometer relocation
Huber;18.08.1811;X;thermometer relocation
Huber;16.08.1823;X;possible thermometer relocation
Huber;16.08.1826;X;thermometer relocation
Delemont;31.05.1808;;long gap
Delemont;31.05.1818;;data gap
Delemont;30.09.1824;;
Mulhouse;31.12.1818;;
Merian;31.12.1849;;
